city,lat,long,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43
Mexico City,19.32049695,-99.1526135,0.144640753828033,-0.6795658329400661,-0.6977243452125376,-0.554630969609262,-0.6544920235096557,-0.6564160971905847,-0.5918947742623534,-0.5998214817018744,-0.5721278433630866,-0.8691366417403127,-0.435494433529797,-0.11771494518176573,0.6398268398268399,0.6063179347826086,0.6222056631892697,0.8392652123995408,0.9494572591587517,0.8830727396329028,0.915891472868217,0.9770279971284996,0.979050279329609,0.9620752427184466,0.767026423520655,0.7110877929345926,0.6434297664691531,0.7744605379840378,0.6686967113276492,0.5877712031558185,0.598113781563736,0.6114253393665159,0.5488319729805798,0.5036496350364964,0.5072376357056695,0.4544395924308588,0.4507787246547164,0.4122882572494976,0.27080344332855094,0.42749244712990936,0.41384820239680425,0.42042533302173407,0.3636109558412521,0.5657657657657658,0.7474191328286304
Rio de Janeiro,-22.914396449999998,-43.44766655,-0.18572587185725872,-0.6241007194244604,-0.6718555417185554,-0.5392986698911729,-0.5450121654501217,-0.5073529411764706,-0.5240320427236315,-0.42366412213740456,-2.9943661971830986,0.4349593495934959,-0.4312925170068027,-0.07107670654468684,0.6305595408895266,0.7484567901234568,0.8427152317880795,0.8951219512195122,0.8617385352498289,0.8269230769230769,0.836472602739726,0.8488612836438924,0.827966881324747,0.7881188118811882,0.7637426900584795,0.6308724832214765,0.837123215230037,0.8549905838041432,0.6948318293683347,0.7953779489648531,0.6701902748414377,0.6363040629095675,0.5508058864751226,0.47867711053089645,0.4567712318286152,0.5181040157998683,0.40123934934159566,0.41316931982633864,-0.4399126001456664,0.3086092715231788,0.5989747634069401,0.7656636438582028,0.7332168704766658,-0.27346938775510204,0.6152046783625731
Buenos Aires,-34.61609525,-58.43329585,0.10705045278137128,-0.5485386221294363,-0.5832835820895522,-0.4475733972438586,-0.5399633923123855,-0.378343949044586,-0.5074626865671642,-0.28111273792093705,-0.7037392138063279,-0.06424911312573907,-0.43902439024390244,0.28954305799648505,0.7712585034013606,0.7914481645824929,0.9261583011583011,0.9384879725085911,0.9584557280738565,0.8833333333333333,0.9242345614945511,0.9200444197667962,0.9591527987897126,0.9113025848960973,0.9089356858281161,0.9251620506776664,0.9347929557353641,0.9466477809254014,0.9205236091631603,0.9833476887740453,0.9796577332902809,0.9554737194509542,0.9543813587134887,0.9346307385229541,0.9331707317073171,0.9578014184397163,0.9755996691480563,0.8609887420460107,0.9401330376940134,0.9674911660777386,0.937210132001427,0.9152674736431081,0.9700243987452074,0.9574530516431925,0.9477470655054904
Asheville,35.53627025,-82.5654167,-0.439766081871345,-0.5750414593698175,0.17076665870551708,0.9226866392848514,0.7098515519568152,0.25253378378378377,-0.011091986995601454,-0.19314507436947617,0.04342921601804851,0.3048128342245989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,30.30754155,-97.74864755,-0.3692478284975051,-0.49096385542168675,0.31322628354109444,0.8505079825834543,0.5422459893048128,0.23108648021652275,0.17702423929860753,0.009367363562313331,0.28844884488448846,0.6369996913262681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,42.31244435,-70.9978686,-0.44156752974107766,-0.3966329966329966,0.30527540729247477,0.9192643391521197,0.880357983984927,0.8224687933425797,0.6260309278350515,0.5470807453416149,0.6087524493794906,0.6995346775980501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge,52.19758565,0.12659545,-0.42048517520215634,-0.31065759637188206,0.42039800995024873,0.9100310237849017,0.9050279329608939,0.8447986577181208,0.7078534031413612,0.6593607305936073,0.7212669683257918,0.7916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broward County,26.1561242,-80.44833265,-0.7728931364031277,-0.8998275862068965,-0.12213548224628556,0.8199766013454226,0.5758706467661692,-0.053557466770914774,-0.17939972714870395,-0.12386426849619878,-0.52039584841902,0.23534815359176925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago,41.8337853,-87.73209109999999,-0.5792134831460675,-0.8697293895531781,0.1814008840530432,0.8380370021950455,0.8281730346947739,0.7419903600793876,0.4769887880405766,0.44492101684276597,0.47377538254258494,0.678847093307279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark County,39.322568849999996,-87.77252565,-0.4946170409104891,-0.6027027027027027,0.07633587786259542,0.7513943112102621,0.48220924057355286,-0.02350560398505604,-0.2032404406999352,-0.31009879253567507,-0.12790012954893418,0.3462212358369349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
